Data Series,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 ,1973 ,1972 ,1971 ,1970 ,1969 ,1968 ,1967 ,1966 ,1965 ,1964 ,1963 ,1962 ,1961 
    Vegetables,115.725,110.43,105.019,100,98.052,98.177,96.736,93.041,92.171,89.133,86.714,85.658,82.54,78.21,77.419,72.998,68.617,67.74,65.953,66.083,67.453,66.707,68.053,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Leafy Vegetables, Fresh",119.948,113.188,103.743,100,97.526,97.597,97.666,92.219,91.289,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Fruit Vegetables, Fresh",121.617,114.528,106.288,100,97.02,96.076,94.781,92.187,90.394,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Root Vegetables, Fresh",106.642,106.231,105.685,100,98.642,99.623,96.274,90.652,89.39,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Other Vegetables & Preparations,111.981,106.552,105.582,100,98.961,99.29,97.306,96.236,96.341,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"    Sugar, Preserves & Confectionery",109.276,105.882,105.213,100,100.181,98.759,96.865,95.243,94.388,94.909,95.172,95.181,93.187,90.256,90.044,85.617,81.886,75.333,73.989,72.909,71.928,72.487,72.625,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Sugar,105.39,101.652,100.723,100,100.373,99.863,96.309,96.481,97.547,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Confectionery & Ice-Cream,110.073,106.908,106.464,100,100.647,99.154,97.46,95.663,94.555,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Sugar Preserves & Spread,107.965,103.881,102.506,100,98.082,96.444,94.634,92.751,91.891,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Non-Alcoholic Beverages,110.153,105.289,103.585,100,98.465,97.345,96.889,96.721,96.419,95.432,94.354,92.502,90.134,89.826,89.4,83.623,79.11,77.552,76.463,74.841,74.137,74.883,73.351,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Coffee & Tea,107.104,103.186,101.013,100,99.265,97.797,97.962,97.196,97.25,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Soft Drinks,113.943,106.865,105.618,100,96.831,96.135,95.916,96.633,96.573,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Other Beverages,110.489,106.472,104.937,100,99.245,98.05,96.803,96.368,95.512,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Other Food,106.284,102.832,101.288,100,99.624,97.946,96.837,94.855,93.136,90.992,89.728,87.533,85.185,83.94,80.311,74.484,72.587,71.061,69.63,69.642,69.765,69.91,70.199,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Food Serving Services,108.204,102.744,101.367,100,98.294,96.828,95.427,93.632,91.512,88.95,87.223,85.306,83.04,82.417,80.713,75.985,74.396,73.484,72.952,72.16,71.746,71.105,70.252,69.864,69.453,68.5,67.355,65.696,63.761,61.353,60.195,59.385,58.218,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Restaurant Food,107.747,102.659,101.493,100,98.238,96.598,95.503,93.36,90.469,88.372,86.271,83.353,81.058,80.156,79.3,75.044,72.48,71.421,70.219,68.266,66.993,66.533,65.175,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Fast Food,107.24,102.992,101.371,100,98.428,98.167,97.082,94.964,93.404,90.252,89.401,89.438,87.773,87.321,85.242,82.73,81.004,79.819,79.476,78.486,77.635,76.53,74.718,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Hawker Food,108.64,102.785,101.275,100,98.372,96.88,95.263,93.692,91.948,89.218,87.566,85.896,83.579,83.052,81.015,75.94,74.614,73.749,73.358,72.892,72.746,72.097,71.464,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Hawker Centres,109.162,103.01,101.636,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Food Courts & Coffee Shops,108.508,102.728,101.184,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Catered Food,106.967,102.329,101.644,100,95.345,94.331,92.735,92.073,91.875,90.709,89.903,89.173,88.016,87.997,86.718,82.371,80.564,80.473,80.201,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Clothing & Footwear,93.416,90.845,96.16,100,100.777,99.345,98.744,98.528,98.468,99.267,98.948,97.502,97.37,96.839,95.943,94.547,93.919,93.224,93.098,92.935,92.424,92.006,91.668,92.519,94.36,95.675,94.868,94.326,92.928,90.824,89.624,87.501,85.986,85.249,83.712,80.951,80.644,82.532,84.674,85.02,85.067,84.703,83.202,81.671,78.886,77.418,76.288,75.768,76.778,69.726,59.849,58.774,57.222,56.929,55.737,55.424,55.315,54.39,53.723,53.415,53.59,53.847
    Clothing,93.689,90.942,96.312,100,101.162,100.053,99.827,98.909,99.269,100.662,100.298,98.763,98.448,97.787,95.987,94.486,94.232,93.046,92.708,92.356,91.483,91.136,90.805,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Men's Clothing",94.761,92.318,95.55,100,101.585,100.77,102.508,101.799,100.982,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Women's Clothing",93.44,90.293,96.449,100,100.718,99.575,98.203,97.106,98.385,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Children's Clothing",92.474,91.084,97.381,100,102.426,100.796,101.779,101.276,99.741,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Other Articles & Related Services,99.965,96.656,99.275,100.001,100.608,99.771,98.548,98.44,98.303,96.009,96.078,95.115,95.572,95.202,94.262,94.248,93.476,93.515,93.254,91.894,92.004,93.702,92.981,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Footwear,91.227,89.359,95.048,100,99.547,96.927,95.224,97.296,95.869,95.272,95.022,93.728,94.139,94.004,96.224,94.94,92.97,93.921,94.58,95.213,95.873,94.909,94.588,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Men's Footwear",89.31,89.885,94.546,100,98.726,96.796,95.147,94.593,94.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
